dataset_id,dataset_name,dataset_source,suite,task,framework,seed,time_budget_s,n_train,n_test,n_features_before,n_features_after,n_added,score_holdout,scorer_name,scorer_greater_is_better,score_nofe_same_seed,pct_improvement,wall_time_fit,wall_time_transform,wall_time_total,peak_rss_mb,n_boost_rounds,status,error_msg,adapter_version,internal_log_json
23,cmc,openml_task,smoke_test,multiclass,featuretools,2,1200,1178,295,9,333,324,0.958269373744221,categorical_crossentropy,False,0.9421315007038036,-0.017129108864698765,0.935776948928833,0.7017209529876709,8.768209457397461,373.82421875,29,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,featuretools,1,1200,1178,295,9,333,324,0.898899501259044,categorical_crossentropy,False,0.9272280438471648,0.030551861298955908,0.9790387153625488,0.8349039554595947,9.050753831863403,372.97265625,28,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,featuretools,0,1200,1178,295,9,333,324,0.9083928796699492,categorical_crossentropy,False,0.8782893031582995,-0.0342752398365758,0.9465575218200684,0.7416188716888428,9.409387826919556,375.7890625,27,ok,,upstream-1.x,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,featuretools,1,1200,228,58,9,370,361,0.7690100430416069,binary_roc_auc,True,0.7101865136298422,0.08282828282828285,1.21063232421875,0.7465124130249023,9.941056966781616,341.78515625,28,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,nofe,3,1200,1178,295,9,9,0,0.906591512843714,categorical_crossentropy,False,0.906591512843714,-0.0,0.0022466182708740234,0.00014090538024902344,2.143364906311035,336.31640625,53,ok,,1.0.0,{}
23,cmc,openml_task,smoke_test,multiclass,nofe,4,1200,1178,295,9,9,0,0.9537930679775901,categorical_crossentropy,False,0.9537930679775901,-0.0,0.002471446990966797,0.0001628398895263672,2.336300849914551,339.00390625,53,ok,,1.0.0,{}
361618,forest_fires,openml_task,smoke_test,regression,featuretools,3,1200,413,104,12,418,406,78.35132430176765,rmse,False,78.06841423527099,-0.0036238736148022973,0.839308500289917,0.7707948684692383,11.556268453598022,364.671875,194,ok,,upstream-1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,openfe,0,1200,413,104,12,71,59,110.77148432200192,rmse,False,110.71788633302435,-0.0004840951245795667,9.2231924533844,0.733281135559082,13.631592035293579,344.3828125,2000,ok,,upstream-0.0.12,{}
23,cmc,openml_task,smoke_test,multiclass,featuretools,3,1200,1178,295,9,333,324,0.8915514890420235,categorical_crossentropy,False,0.906591512843714,0.016589636665044732,1.0559821128845215,0.7938170433044434,5.091694593429565,373.453125,42,ok,,upstream-1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,openfe,3,1200,413,104,12,223,211,75.95794535978634,rmse,False,78.06841423527099,0.027033581969840435,10.302219152450562,1.9196066856384277,14.991280317306519,346.05859375,2000,ok,,upstream-0.0.12,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,openfe,0,1200,228,58,9,194,185,0.5832137733142038,binary_roc_auc,True,0.659971305595409,-0.11630434782608698,9.466964721679688,1.3980884552001953,14.58729076385498,334.4375,2000,ok,,upstream-0.0.12,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,openfe,4,1200,228,58,9,213,204,0.6757532281205164,binary_roc_auc,True,0.7166427546628407,-0.05705705705705707,10.408029079437256,1.5289196968078613,14.774935245513916,334.8984375,20,ok,,upstream-0.0.12,{}
361618,forest_fires,openml_task,smoke_test,regression,openfe,2,1200,413,104,12,47,35,35.13760658777095,rmse,False,39.45767966579137,0.10948624233892283,11.976043224334717,0.4169774055480957,14.954612731933594,343.1953125,2000,ok,,upstream-0.0.12,{}
23,cmc,openml_task,smoke_test,multiclass,featuretools,4,1200,1178,295,9,333,324,0.9635914731833894,categorical_crossentropy,False,0.9537930679775901,-0.01027309333100495,1.136336088180542,0.832880973815918,5.867394685745239,369.8203125,30,ok,,upstream-1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,openfe,1,1200,413,104,12,248,236,75.7595138649496,rmse,False,76.5361279964511,0.010147026663506078,10.60163140296936,2.016733169555664,16.34373426437378,348.72265625,16,ok,,upstream-0.0.12,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,openfe,3,1200,228,58,9,231,222,0.7109038737446198,binary_roc_auc,True,0.7094691535150646,0.002022244691607723,11.818402767181396,1.5312397480010986,15.931337118148804,333.75390625,6,ok,,upstream-0.0.12,{}
361618,forest_fires,openml_task,smoke_test,regression,openfe,4,1200,413,104,12,252,240,73.79489239933679,rmse,False,74.99468974133806,0.01599843063741527,11.297297954559326,2.201835870742798,16.457143545150757,349.46875,2000,ok,,upstream-0.0.12,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,openfe,1,1200,228,58,9,158,149,0.8292682926829269,binary_roc_auc,True,0.7101865136298422,0.16767676767676776,9.29006028175354,0.952232837677002,17.079519748687744,331.56640625,101,ok,,upstream-0.0.12,{}
23,cmc,openml_task,smoke_test,multiclass,openfe,2,1200,1178,295,9,121,112,0.982637662756241,categorical_crossentropy,False,0.9421315007038036,-0.04299417015796409,9.932021141052246,1.7627639770507812,17.45590615272522,351.296875,24,ok,,upstream-0.0.12,{}
23,cmc,openml_task,smoke_test,multiclass,openfe,0,1200,1178,295,9,118,109,0.9946143370563701,categorical_crossentropy,False,0.8782893031582995,-0.13244500813088547,9.910297632217407,1.7452731132507324,17.459802627563477,348.38671875,12,ok,,upstream-0.0.12,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,tabularaml,0,1200,228,58,9,16,7,0.6915351506456241,binary_roc_auc,True,0.659971305595409,0.047826086956521636,15.74114179611206,0.01214289665222168,18.011345863342285,332.89453125,4,ok,,0.2.0,"{""mode"": ""medium"", ""elapsed_time"": 14.142491817474365, ""n_init_feats"": 9, ""n_added_feats"": 7, ""initial_metric"": null, ""final_metric"": 0.677008336491095, ""pct_gain"": 0.09710416946402589}"
23,cmc,openml_task,smoke_test,multiclass,openfe,1,1200,1178,295,9,125,116,0.981862125154269,categorical_crossentropy,False,0.9272280438471648,-0.0589219466232079,8.883336305618286,1.7134034633636475,17.553915977478027,347.12109375,14,ok,,upstream-0.0.12,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,openfe,2,1200,228,58,9,207,198,0.7144906743185079,binary_roc_auc,True,0.7101865136298422,0.00606060606060602,13.411016941070557,1.1324737071990967,20.578288078308105,333.390625,26,ok,,upstream-0.0.12,{}
23,cmc,openml_task,smoke_test,multiclass,openfe,4,1200,1178,295,9,126,117,1.0153023231080023,categorical_crossentropy,False,0.9537930679775901,-0.06448909852200495,8.448454856872559,1.5812606811523438,12.894920587539673,353.2421875,51,ok,,upstream-0.0.12,{}
23,cmc,openml_task,smoke_test,multiclass,openfe,3,1200,1178,295,9,125,116,0.9452753584263689,categorical_crossentropy,False,0.906591512843714,-0.042669543046255684,9.128691911697388,1.5368731021881104,13.523974180221558,353.640625,34,ok,,upstream-0.0.12,{}
361618,forest_fires,openml_task,smoke_test,regression,autofeat,4,1200,413,104,12,12,0,74.0670647104015,rmse,False,74.99468974133806,0.012369209528514773,22.463642597198486,0.009187459945678711,24.82130527496338,536.65234375,15,ok,,upstream-2.1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,autofeat,2,1200,413,104,12,14,2,36.006837626009535,rmse,False,39.45767966579137,0.08745679089623737,24.096933126449585,0.01379537582397461,27.346163272857666,531.03515625,4,ok,,upstream-2.1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,autofeat,3,1200,413,104,12,12,0,76.92501631182452,rmse,False,78.06841423527099,0.014646101559084685,26.083935737609863,0.009634971618652344,29.27820086479187,542.3828125,190,ok,,upstream-2.1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,autofeat,0,1200,413,104,12,12,0,110.77431925730166,rmse,False,110.71788633302435,-0.0005097001590832412,25.343037605285645,0.009442806243896484,29.292534828186035,530.10546875,2000,ok,,upstream-2.1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,autofeat,1,1200,413,104,12,12,0,77.06638534190054,rmse,False,76.5361279964511,-0.0069281966481767885,28.53550386428833,0.009407281875610352,31.339558601379395,543.20703125,9,ok,,upstream-2.1.x,{}
