iter	RMSE
0	46.34591289
1	46.01304277
2	45.73510737
3	45.46522874
4	45.18724819
5	44.87988329
6	44.61640199
7	44.35994888
8	44.10963427
9	43.89239623
10	43.67918521
11	43.41767767
12	43.21496338
13	43.00071583
14	42.83983958
15	42.68465036
16	42.49657598
17	42.29240719
18	42.11575047
19	41.92232567
20	41.72138796
21	41.5742285
22	41.41020706
23	41.24280874
24	41.09903242
25	40.99184288
26	40.87365129
27	40.76128505
28	40.68773624
29	40.59396892
30	40.4740765
31	40.35036998
32	40.23801017
33	40.13892705
34	40.01989952
35	39.88753443
36	39.78305602
37	39.70873741
38	39.62164123
39	39.51685068
40	39.43892063
41	39.34820459
42	39.31295614
43	39.22997086
44	39.19590472
45	39.15868595
46	39.07340367
47	38.98861088
48	38.954431
49	38.86398872
50	38.77795858
51	38.71779772
52	38.6359024
53	38.55341957
54	38.52152227
55	38.48806761
56	38.36398464
57	38.31391497
58	38.28333858
59	38.25437905
60	38.13772402
61	38.07335043
62	38.01217353
63	37.92743579
64	37.89784616
65	37.86861957
66	37.84050167
67	37.81422111
68	37.7179405
69	37.69167738
70	37.6653897
71	37.63793926
72	37.58991992
73	37.5653622
74	37.49924166
75	37.47198754
76	37.4483743
77	37.42486124
78	37.40154442
79	37.3786918
80	37.35513911
81	37.33060612
82	37.30844629
83	37.26548352
84	37.24426064
85	37.19564549
86	37.13428671
87	37.00682115
88	36.97192185
89	36.90015719
90	36.87968426
91	36.85920622
92	36.82441009
93	36.79329406
94	36.75642278
95	36.73585412
96	36.69082042
97	36.64847152
98	36.61008116
99	36.57709185
100	36.55832235
101	36.52084576
102	36.47553389
103	36.45794992
104	36.44019779
105	36.42102098
106	36.40306915
107	36.36519068
108	36.34869763
109	36.33301513
110	36.26261419
111	36.21960759
112	36.15633661
113	36.11502419
114	36.09902252
115	36.08343686
116	36.04828905
117	35.99362812
118	35.948491
119	35.93289805
120	35.91581394
121	35.89517552
122	35.87953584
123	35.86544351
124	35.85103679
125	35.78622107
126	35.76337119
127	35.73062472
128	35.71691645
129	35.70149133
130	35.66556243
131	35.63011641
132	35.5681894
133	35.53616712
134	35.5224072
135	35.50497553
136	35.45360829
137	35.44008703
138	35.38116506
139	35.34190135
140	35.31821192
141	35.27768887
142	35.26239662
143	35.23570271
144	35.22295825
145	35.17979528
146	35.1677066
147	35.14827345
148	35.13636023
149	35.10665377
150	35.06054197
151	35.03101369
152	35.00992494
153	34.96797387
154	34.87457701
155	34.86189425
156	34.84962463
157	34.82398765
158	34.81158895
