dataset,seed,config,task,cv_gain,test_gain,overfit_gap,base_test,new_test,n_new_feats,wall_time_s,evals,evals_per_min
churn,42,new,classification,0.0,-0.0,0.0,0.15876644469347342,0.15876644469347342,0,437.2,52,7.1
churn,42,old,classification,0.006890078429615993,0.0043649904440636825,0.0025250879855523104,0.15876644469347342,0.15807343063589854,1,438.0,65,8.9
churn,43,old,classification,0.016240010238548958,0.08447331107148053,-0.06823330083293157,0.18147962053897615,0.16614943525531986,1,320.1,87,16.3
churn,43,new,classification,-0.013166541931816418,0.009794294845432197,-0.022960836777248615,0.18147962053897615,0.17970215552903732,-3,484.2,58,7.2
churn,44,old,classification,-0.008560672325702427,-0.02859797063501406,0.020037298309311634,0.14796598527176805,0.1521975124595307,1,332.3,48,8.7
churn,44,new,classification,-0.006500769626421872,0.006673588699637968,-0.01317435832605984,0.14796598527176805,0.1469785210777917,-4,341.3,85,14.9
spambase,42,old,classification,0.02471929331808213,0.012113937380463152,0.012605355937618978,0.14161276317125646,0.13989727490478612,5,412.7,28,4.1
spambase,42,new,classification,-0.024595387800316733,-0.044022007440328574,0.01942661964001184,0.14161276317125646,0.14784684172544707,0,279.2,73,15.7
spambase,43,new,classification,0.026390490963016322,-0.022240784166108724,0.048631275129125046,0.12152255777280833,0.12422531497395468,0,261.3,76,17.5
spambase,43,old,classification,0.017256469897860716,0.02668103542486545,-0.009424565527004734,0.12152255777280833,0.11828020983714142,3,309.3,95,18.4
spambase,44,old,classification,0.036375247440689866,-0.023668372994263453,0.060043620434953315,0.12702228556779954,0.1300286966378858,5,304.6,54,10.6
spambase,44,new,classification,0.010466879516370174,0.008774347430988004,0.0016925320853821701,0.12702228556779954,0.12590774781500602,1,309.8,78,15.1
satimage,42,old,classification,0.0,-0.0,0.0,0.3053690026926626,0.3053690026926626,0,944.6,0,0.0
satimage,42,new,classification,0.03722383995880936,0.054461151446574006,-0.017237311487764646,0.3053690026926626,0.2887382546453167,0,935.8,0,0.0
satimage,43,old,classification,0.0,-0.0,0.0,0.23113977140154277,0.23113977140154277,0,589.4,0,0.0
satimage,43,new,classification,0.027162423090053615,0.050738037050759986,-0.02357561396070637,0.23113977140154277,0.21941219260888672,0,596.0,0,0.0
satimage,44,old,classification,0.0,-0.0,0.0,0.23492869669502403,0.23492869669502403,0,900.6,0,0.0
satimage,44,new,classification,0.0490702745739646,0.041900077092578425,0.007170197481386177,0.23492869669502403,0.22508516577324278,0,891.0,0,0.0
splice,42,old,classification,0.011340236560774286,-0.06039450854251515,0.07173474510328944,0.13917607842038576,0.1475815498814046,1,467.6,61,7.8
splice,42,new,classification,-0.0019237353674351441,-0.06759859345559133,0.06567485808815618,0.13917607842038576,0.14858418624025485,0,491.0,57,7.0
splice,43,old,classification,0.004082076181848993,0.015518786794901958,-0.011436710613052965,0.2186925859694247,0.21529874219895156,2,475.9,69,8.7
splice,43,new,classification,0.009544974836124221,0.015518786794901958,-0.005973811958777737,0.2186925859694247,0.21529874219895156,1,463.0,92,11.9
splice,44,old,classification,0.005961562478090052,0.02399221062152576,-0.01803064814343571,0.17299120644115723,0.16884076474062704,4,304.5,70,13.8
splice,44,new,classification,0.0,-0.0,0.0,0.17299120644115723,0.17299120644115723,0,306.0,153,30.0
503_wind,42,old,regression,-0.0022578382997568537,-0.001808459040144857,-0.0004493792596119968,2.9672649508678197,2.972631128010806,2,283.4,104,22.0
503_wind,42,new,regression,0.0014995050610035476,0.0026225991178250785,-0.0011230940568215308,2.9672649508678197,2.9594830043990945,1,303.9,174,34.3
503_wind,43,old,regression,-0.0008435578739263178,0.005147967261233725,-0.005991525135160042,3.041350783178106,3.025694008864898,1,271.1,71,15.7
503_wind,43,new,regression,-0.0005770816376897519,0.003271645333144324,-0.0038487269708340757,3.041350783178106,3.03140056204915,0,444.5,44,5.9
503_wind,44,old,regression,0.004232513413582155,0.004918313451069751,-0.0006858000374875958,3.1279513556286203,3.112567110352757,1,405.0,7,1.0
503_wind,44,new,regression,0.00378935375392539,0.0024475399253516875,0.0013418138285737026,3.1279513556286203,3.120295569776686,0,267.5,48,10.8
537_houses,42,old,regression,0.015614008334357842,0.015725017782320903,-0.0001110094479630612,47957.73002347073,47203.59386605175,3,307.8,106,20.7
537_houses,42,new,regression,0.03879690902407399,0.048529569736661116,-0.009732660712587125,47957.73002347073,45630.362019884255,9,311.0,121,23.3
537_houses,43,old,regression,0.03126448933748589,0.0315076128659616,-0.0002431235284757055,46558.95809211836,45091.99646510905,3,312.1,77,14.8
537_houses,43,new,regression,0.013850369822600113,0.005174049378092594,0.008676320444507519,46558.95809211836,46318.05974395714,8,307.9,106,20.7
537_houses,44,old,regression,0.02753952634806096,0.0295145969422411,-0.0019750705941801415,45935.41378415,44579.64856093545,4,98.6,29,17.7
537_houses,44,new,regression,0.03303132453511491,0.048504976357672376,-0.015473651822557465,45935.41378415,43707.31762456942,1,138.6,193,83.6
